trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
828,False,"{'a': 0.001, 'e': 0.6763502720785084}",35,0,-84.69288299206988,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 0}",1
829,False,"{'a': 0.001, 'e': 0.6756133538815365}",25,6,-21.895293654447748,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
830,False,"{'a': 0.001, 'e': 0.674875760071267}",20,0,-27.808305736365416,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
831,False,"{'a': 0.001, 'e': 0.6741374913852938}",20,0,-112.98839693755075,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
832,False,"{'a': 0.001, 'e': 0.6733985485618852}",25,0,-150.1545022386169,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
833,False,"{'a': 0.001, 'e': 0.6726589323399843}",30,9,-137.37272101441434,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
834,False,"{'a': 0.001, 'e': 0.671918643459207}",20,0,-72.75089998545295,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
835,False,"{'a': 0.001, 'e': 0.6711776826598423}",30,0,-120.89358133695005,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
836,False,"{'a': 0.001, 'e': 0.6704360506828508}",30,13,-11.992321938450528,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
837,False,"{'a': 0.001, 'e': 0.6696937482698646}",25,0,-83.07767901622834,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
838,False,"{'a': 0.001, 'e': 0.6689507761631859}",20,0,-67.72979532329111,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
839,False,"{'a': 0.001, 'e': 0.6682071351057867}",35,14,-39.79691261459693,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
840,False,"{'a': 0.001, 'e': 0.6674628258413081}",20,5,-23.25273226870615,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
841,False,"{'a': 0.001, 'e': 0.6667178491140593}",20,0,-31.45298473558841,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
842,False,"{'a': 0.001, 'e': 0.665972205669017}",20,9,5.349653090085129,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.001, 'e': 0.6652258962518245}",25,6,-40.090886851113844,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
844,False,"{'a': 0.001, 'e': 0.6644789216087912}",20,12,-11.383809346800502,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
845,False,"{'a': 0.001, 'e': 0.6637312824868916}",30,0,-105.14944931680988,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
846,False,"{'a': 0.001, 'e': 0.6629829796337648}",30,10,-107.3645426689989,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
847,False,"{'a': 0.001, 'e': 0.6622340137977137}",35,0,-103.52233239571308,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
848,False,"{'a': 0.001, 'e': 0.661484385727704}",25,0,-45.37268859098452,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
849,False,"{'a': 0.001, 'e': 0.6607340961733636}",20,0,-85.60322988558654,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
850,False,"{'a': 0.001, 'e': 0.6599831458849822}",20,4,-72.03624844841373,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
851,False,"{'a': 0.001, 'e': 0.6592315356135099}",30,0,-105.94176248838207,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
852,False,"{'a': 0.001, 'e': 0.6584792661105568}",20,0,-80.49963631135356,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
853,False,"{'a': 0.001, 'e': 0.6577263381283925}",25,9,-22.464660617465874,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
854,False,"{'a': 0.001, 'e': 0.656972752419945}",25,0,-94.62873645030562,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
855,False,"{'a': 0.001, 'e': 0.6562185097387998}",20,0,-134.52445901476617,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
856,False,"{'a': 0.001, 'e': 0.6554636108391995}",20,0,-71.82833345128984,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
857,False,"{'a': 0.001, 'e': 0.6547080564760429}",20,0,-9.836376768311693,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
858,False,"{'a': 0.001, 'e': 0.6539518474048844}",20,0,-43.94639345731196,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
859,False,"{'a': 0.001, 'e': 0.6531949843819331}",20,0,8.559906253158104,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
860,False,"{'a': 0.001, 'e': 0.6524374681640519}",25,17,-6.441369395643505,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
861,False,"{'a': 0.001, 'e': 0.6516792995087568}",25,0,-44.200839181190915,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
862,False,"{'a': 0.001, 'e': 0.6509204791742165}",25,0,-47.708162631838675,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
863,False,"{'a': 0.001, 'e': 0.6501610079192512}",20,8,-83.2763022637488,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
864,False,"{'a': 0.001, 'e': 0.6494008865033323}",20,0,-86.94762611546984,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
865,False,"{'a': 0.001, 'e': 0.648640115686581}",25,0,-38.21858441869737,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
866,False,"{'a': 0.001, 'e': 0.647878696229768}",20,0,-45.57220359684284,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
867,False,"{'a': 0.001, 'e': 0.6471166288943128}",20,11,-4.641079263516377,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
